carat,cut,color,clarity,depth,table,price,x,y,z
1.4,Ideal,G,VVS1,60.8,57.0,15134,7.21,7.23,4.39
0.58,Good,D,SI2,56.7,60.0,1563,5.59,5.53,3.15
1.21,Premium,J,VS2,60.2,57.0,5541,6.97,6.91,4.18
1.5,Good,G,VS2,63.3,62.0,11577,7.08,7.2,4.52
0.5,Premium,D,VS2,59.7,57.0,1819,5.13,5.08,3.05
2.06,Premium,H,SI2,62.6,58.0,12931,8.06,8.03,5.04
0.51,Very Good,D,VS2,62.0,59.0,1716,5.08,5.12,3.16
0.57,Premium,G,VVS2,60.2,60.0,2059,5.44,5.36,3.25
1.35,Premium,H,VS2,60.5,62.0,6093,7.16,7.11,4.32
0.32,Ideal,F,VS2,62.1,57.0,645,4.35,4.38,2.71
0.52,Ideal,H,IF,61.8,55.0,1798,5.17,5.19,3.2
1.02,Very Good,H,SI2,61.1,61.0,4039,6.48,6.51,3.97
1.32,Ideal,I,SI2,61.7,55.0,5721,7.07,7.03,4.35
0.72,Good,J,VS1,63.7,54.0,2062,5.71,5.68,3.63
0.7,Premium,G,VS1,63.0,60.0,2838,5.64,5.57,3.53
0.43,Ideal,H,VS1,61.2,55.0,1329,4.87,4.9,2.99
1.03,Premium,E,SI2,61.8,59.0,4758,6.42,6.47,3.98
1.0,Premium,G,VS2,60.6,60.0,6048,6.4,6.3,3.85
0.57,Ideal,G,VVS2,61.9,56.0,2039,5.29,5.3,3.28
0.74,Very Good,E,SI1,60.0,57.0,2839,5.85,5.89,3.52
0.34,Ideal,F,IF,61.9,55.0,1276,4.49,4.52,2.79
0.81,Ideal,G,SI1,62.2,57.0,3192,5.97,6.02,3.73
0.5,Very Good,J,SI1,62.8,58.0,990,5.05,5.08,3.18
1.05,Ideal,G,IF,62.5,56.0,9012,6.52,6.48,4.06
0.33,Premium,G,VS2,60.0,58.0,579,4.47,4.49,2.69
1.27,Ideal,F,VS2,61.0,59.0,9547,6.96,6.98,4.25
0.3,Ideal,D,VS2,62.4,56.0,911,4.32,4.27,2.68
